"","id","barren","decforest","egforest","fen","littoral","lowshrub","mixforest","openshrub","sparseveg","tallshrub","tundra","tussock","water","woodland","elev","observer","second_observer","date","start_time","tempf","sky","wind","hear","noise_distance_m","noise_direction","julian","min_after_sun","year"
"1","C2_T21_10",0,0.00191387559808612,0,0,0,0.0516746411483254,0,0,0.120574162679426,0.0650717703349282,0.714832535885167,0.045933014354067,0,0,30.6236854338912,"MG","SA","2022-06-29","10:24:00","56","2",3,0,NA,NA,180,357,2022
"2","C2_T21_11",0,0,0,0,0,0.0153550863723608,0,0,0,0.27447216890595,0.464491362763916,0.245681381957774,0,0,48.8937799897587,"MG","SA","2022-06-29","08:53:00","54","2",4,0,NA,NA,180,266,2022
"3","C2_T21_16",0,0,0,0,0,0.071360608943863,0,0,0.183634633682207,0.0513796384395813,0.641294005708849,0.0523311132254995,0,0,144.116369303049,"MG","SA","2022-06-29","08:26:00","54","2",2,0,NA,NA,180,239,2022
"4","C2_T21_18",0.0161750713606089,0.00190294957183635,0,0.00380589914367269,0,0.00570884871550904,0.00380589914367269,0.027592768791627,0.0827783063748811,0.424357754519505,0.255946717411989,0.177925784966698,0,0,58.8859461819245,"MG","SA","2022-06-29","10:58:00","59","2",2,0,NA,NA,180,391,2022
"5","C2_T21_19",0,0,0,0,0,0.0606352261790183,0,0,0.00384985563041386,0.0981713185755534,0.719923002887392,0.117420596727623,0,0,62.9896819613944,"MG","SA","2022-06-29","11:34:00","59","2",4,0,NA,NA,180,427,2022
"6","C2_T21_6",0,0,0,0,0,0.0317307692307692,0,0,0.136538461538462,0.0625,0.634615384615385,0.134615384615385,0,0,60.8940738490632,"MG","SA","2022-06-29","09:54:00","54","2",2,0,NA,NA,180,327,2022
"7","C2_T21_7",0,0,0,0,0,0.0153698366954851,0,0,0,0.241114313160423,0.653218059558117,0.090297790585975,0,0,36.6652682716841,"MG","SA","2022-06-29","09:18:00","55","2",2,0,NA,NA,180,291,2022
"8","COUN_3_12_4",0.0597878495660559,0.000964320154291225,0,0,0,0.0144648023143684,0,0.0038572806171649,0.0241080038572806,0.424300867888139,0.461909353905497,0.0106075216972035,0,0,31.1148458192096,"DS","KW","2019-05-15","06:16:00","39","1",8,1,1000,"1000",135,34,2019
"9","COUN_1_14_10",0.00381315538608198,0,0.00285986653956149,0.00285986653956149,0,0.0162059103908484,0.00667302192564347,0.0495710200190658,0.0133460438512869,0.0753098188751192,0.605338417540515,0.224022878932316,0,0,70.5880023647266,"DS","KW","2019-06-21","05:32:00","41","2,3",0,0,1000,"1000",172,73,2019
"10","COUN_1_14_11",0,0,0.00863723608445298,0.0163147792706334,0.00671785028790787,0.0383877159309021,0.072936660268714,0.00575815738963532,0.000959692898272553,0.231285988483685,0.202495201535509,0.410748560460653,0.00191938579654511,0.00383877159309021,172.933711999541,"DS","KW","2019-06-21","06:08:00","41","2,3",3,0,1000,"1000",172,109,2019
"11","COUN_1_14_14",0.000962463907603465,0,0.00288739172281039,0.000962463907603465,0,0.0615976900866218,0,0.0192492781520693,0.00288739172281039,0.0981713185755534,0.337824831568816,0.475457170356112,0,0,94.0208074455831,"DS","KW","2019-06-21","05:03:00","43","2,3",3,0,1000,"1000",172,44,2019
"12","COUN_1_14_15",0,0,0.0256653992395437,0,0,0.00665399239543726,0.0741444866920152,0.000950570342205323,0,0.349809885931559,0.127376425855513,0.41254752851711,0,0.00285171102661597,104.466570699156,"DS","KW","2019-06-21","06:40:00","43","1,3",2,0,1000,"1000",172,141,2019
"13","COUN_1_14_17",0.00572519083969466,0,0,0,0,0.0314885496183206,0,0.00190839694656489,0.00572519083969466,0.0887404580152672,0.368320610687023,0.498091603053435,0,0,105.47349865409,"DS","KW","2019-06-21","04:34:00","44","2,3",0,0,1000,"1000",172,15,2019
"14","COUN_1_14_18",0.00192122958693564,0.000960614793467819,0.00288184438040346,0,0,0.0240153698366955,0.00192122958693564,0.00192122958693564,0.00192122958693564,0.23342939481268,0.0557156580211335,0.675312199807877,0,0,154.027671693629,"DS","KW","2019-06-21","07:25:00","48","3",2,0,1000,"1000",172,186,2019
"15","COUN_1_14_20",0.00288461538461538,0,0,0.00961538461538462,0,0.0211538461538462,0.00673076923076923,0.0163461538461538,0.00288461538461538,0.221153846153846,0.0971153846153846,0.622115384615385,0,0,123.434772253712,"DS","KW","2019-06-21","04:03:00","41","0",1,0,1000,"1000",172,-16,2019
"16","COUN_1_3_1",0.00575815738963532,0,0,0.00191938579654511,0,0.00191938579654511,0.0748560460652591,0.00767754318618042,0,0.661228406909789,0.125719769673704,0.112284069097889,0,0.00863723608445298,130.607646723928,"DS","KW","2019-06-12","04:12:00","44","2",1,0,1000,"1000",163,-13,2019
