,id,1,2,3,4,5,barren,decforest,egforest,fen,littoral,lowshrub,mixforest,openshrub,sparseveg,tallshrub,tundra,tussock,water,woodland,elev,observer,second_observer,date,start_time,tempf,sky,wind,hear,noise_distance_m,noise_direction,julian,min_after_sun,year
1,C2_T21_10,0,0,0,0,0,-0.37938555,0.197339535,-0.165889998,-0.356370497,-0.172633637,-0.061110828,-0.207377386,-0.326530475,0.253034792,-0.49073655,0.556998773,-0.184076398,-0.101142573,-0.25807982,-1.480533165,MG,SA,6/29/2022,10:24:00,1.06019106,2,-0.295375767,0,NA,NA,0.887163154,1.680390462,2022
2,C2_T21_11,0,0,0,0,0,-0.37938555,-0.188020566,-0.165889998,-0.356370497,-0.172633637,-0.638900406,-0.207377386,-0.326530475,-0.57189776,0.49636057,-0.376063018,2.106485601,-0.101142573,-0.25807982,-1.305381102,MG,SA,6/29/2022,8:53:00,0.830462846,2,-0.007488564,0,NA,NA,0.887163154,0.915928864,2022
3,C2_T21_16,0,0,0,0,0,-0.37938555,-0.188020566,-0.165889998,-0.356370497,-0.172633637,0.252063359,-0.207377386,-0.326530475,0.684475775,-0.55528019,0.282908851,-0.110707878,-0.101142573,-0.25807982,-0.392499515,MG,SA,6/29/2022,8:26:00,0.830462846,2,-0.58326297,0,NA,NA,0.887163154,0.689110587,2022
4,C2_T21_18,0,0,0,0,0,-0.182962712,0.195139573,-0.165889998,-0.134076493,-0.172633637,-0.792357563,-0.086667449,0.571274337,-0.005553213,1.202909512,-1.153342432,1.329516069,-0.101142573,-0.25807982,-1.209588028,MG,SA,6/29/2022,10:58:00,1.404783382,2,-0.58326297,0,NA,NA,0.887163154,1.966013476,2022
5,C2_T21_19,0,0,0,0,0,-0.37938555,-0.188020566,-0.165889998,-0.356370497,-0.172633637,0.081438624,-0.207377386,-0.326530475,-0.545558193,-0.334707865,0.575971762,0.635688697,-0.101142573,-0.25807982,-1.170246262,MG,SA,6/29/2022,11:34:00,1.404783382,2,-0.007488564,0,NA,NA,0.887163154,2.268437845,2022
6,C2_T21_6,0,0,0,0,0,-0.37938555,-0.188020566,-0.165889998,-0.356370497,-0.172633637,-0.378387882,-0.207377386,-0.326530475,0.362257775,-0.502859674,0.258016556,0.832865416,-0.101142573,-0.25807982,-1.190336475,MG,SA,6/29/2022,9:54:00,0.830462846,2,-0.58326297,0,NA,NA,0.887163154,1.428370155,2022
7,C2_T21_7,0,0,0,0,0,-0.37938555,-0.188020566,-0.165889998,-0.356370497,-0.172633637,-0.638665751,-0.207377386,-0.326530475,-0.57189776,0.339114244,0.327351716,0.324665034,-0.101142573,-0.25807982,-1.422613612,MG,SA,6/29/2022,9:18:00,0.945326953,2,-0.58326297,0,NA,NA,0.887163154,1.125945786,2022
8,COUN_1_14_10,0,0,0,0,0,-0.333080295,-0.188020566,0.108243494,-0.189332128,-0.172633637,-0.625365074,0.004267754,1.286395747,-0.480588098,-0.442475189,0.148896594,1.8581224,-0.101142573,-0.25807982,-1.097402551,DS,KW,6/21/2019,5:32:00,-0.66277055,"2,3",-1.159037376,0,1000,1000,0.521089671,-0.705401778,2019
9,COUN_1_14_11,0,0,0,0,0,-0.37938555,-0.188020566,0.662035241,0.596539044,1.578235863,-0.272485856,2.10592083,-0.139173365,-0.565331827,0.29278429,-1.352564823,3.999350164,-0.037012332,-0.014829507,-0.116232909,DS,KW,6/21/2019,6:08:00,-0.66277055,"2,3",-0.295375767,0,1000,1000,0.521089671,-0.40297741,2019
10,COUN_1_14_14,0,0,0,0,0,-0.367697818,-0.188020566,0.11088193,-0.300155146,-0.172633637,0.09674998,-0.207377386,0.299796469,-0.552143085,-0.334707865,-0.84816954,4.741379171,-0.101142573,-0.25807982,-0.872756525,DS,KW,6/21/2019,5:03:00,-0.433042335,"2,3",-0.295375767,0,1000,1000,0.521089671,-0.949021409,2019
11,COUN_1_14_15,0,0,0,0,0,-0.37938555,-0.188020566,2.294275685,-0.356370497,-0.172633637,-0.777321746,2.144228901,-0.295601116,-0.57189776,0.851496683,-1.632544575,4.019979358,-0.101142573,-0.077376285,-0.772614898,DS,KW,6/21/2019,6:40:00,-0.433042335,"1,3",-0.58326297,0,1000,1000,0.521089671,-0.134155749,2019
12,COUN_1_14_17,0,0,0,0,0,-0.309861391,-0.188020566,-0.165889998,-0.356370497,-0.172633637,-0.382241233,-0.207377386,-0.264435656,-0.532727707,-0.379164205,-0.734506869,5.000933589,-0.101142573,-0.25807982,-0.762961664,DS,KW,6/21/2019,4:34:00,-0.318178228,"2,3",-1.159037376,0,1000,1000,0.521089671,-1.192641039,2019
13,COUN_1_14_18,0,0,0,0,0,-0.356054996,0.00539985,0.110350187,-0.356370497,-0.172633637,-0.501128301,-0.146442639,-0.264018112,-0.558753279,0.30288814,-1.899635775,7.033164287,-0.101142573,-0.25807982,-0.297481667,DS,KW,6/21/2019,7:25:00,0.141278202,3,-0.58326297,0,1000,1000,0.521089671,0.243874711,2019
14,COUN_1_14_20,0,0,0,0,0,-0.34435607,-0.188020566,-0.165889998,0.205242479,-0.172633637,-0.546650846,0.006099299,0.205335526,-0.55216208,0.245022162,-1.74533234,6.423143766,-0.101142573,-0.25807982,-0.590770211,DS,KW,6/21/2019,4:03:00,-0.66277055,0,-0.871150173,0,1000,1000,0.521089671,-1.453062023,2019
15,COUN_1_3_1,0,0,0,0,0,-0.30946106,-0.188020566,-0.165889998,-0.244263492,-0.172633637,-0.852642227,2.166797099,-0.076720995,-0.57189776,2.319499262,-1.638719199,0.576786914,-0.101142573,0.289233383,-0.522005173,DS,KW,6/12/2019,4:12:00,-0.318178228,2,-0.871150173,0,1000,1000,0.109257002,-1.427859992,2019
16,COUN_1_3_11,0,0,0,0,0,-0.37938555,10.14746923,0.198578992,-0.356370497,-0.172633637,-0.822688186,2.294972893,-0.295601116,-0.57189776,2.894793618,-1.838034425,-0.678099941,-0.101142573,-0.077376285,-1.106030098,DS,KW,6/12/2019,7:42:00,0.600734631,1,-0.58326297,0,1000,1000,0.109257002,0.336282157,2019
