,id,time_int,exact_distance
1,TELL_4_4_14,0,103
2,TELL_4_4_14,6,190
3,COUN_3_12_1,0,100
4,COUN_3_12_1,2,300
5,COUN_3_12_1,8,250
6,KOUG_5_17_1,0,215
7,KOUG_4_19_1,4,170
8,KOUG_4_19_1,4,170
9,COUN_4_19_1,9,65
10,TELL_3_21_1,0,175
11,TELL_3_21_1,3,282
12,TELL_3_21_1,4,120
13,TELL_3_21_1,7,91
14,TELL_5_23_1,1,250
15,KOUG_1_17_2,2,300
16,KOUG_1_17_2,4,300
17,COUN_3_19_3,7,125
18,KOUG_3_20_3,0,150
19,KOUG_3_20_3,1,200
20,COUN_3_12_4,7,300
21,TELL_4_4_4,0,99
22,TELL_4_4_4,2,270
23,TELL_4_4_4,3,148
24,COUN_4_10_4,3,400
25,COUN_4_10_4,9,200
26,KOUG_1_17_4,7,350
27,TELL_1_19_4,0,400
28,TELL_1_19_4,2,250
29,TELL_3_21_4,1,300
30,TELL_3_21_4,3,400
31,TELL_3_21_4,6,300
32,KOUG_5_17_5,4,170
33,KOUG_1_3_5,0,157
34,TELL_1_6_5,0,200
35,TELL_1_6_5,1,200
36,TELL_1_6_5,8,200
37,KOUG_4_21_5,2,260
38,KOUG_4_21_5,9,200
39,KOUG_5_17_6,5,215
40,TELL_4_9_6,2,250
41,TELL_4_9_6,2,300
42,COUN_4_10_6,0,75
43,TELL_5_10_6,2,326
44,KOUG_4_19_6,8,180
45,TELL_3_21_6,3,400
46,TELL_3_21_6,6,150
47,TELL_3_21_6,7,400
48,TELL_3_21_6,8,200
49,COUN_3_12_7,2,150
50,COUN_3_12_7,4,100
51,COUN_3_12_7,8,150
52,COUN_5_12_7,2,175
53,KOUG_5_17_7,9,125
54,KOUG_1_3_7,0,300
55,KOUG_1_3_7,3,150
56,COUN_4_10_7,7,209
57,TELL_1_19_7,0,400
58,TELL_1_19_7,7,250
59,TELL_1_19_7,9,200
60,TELL_1_3_8,1,250
61,TELL_4_4_8,0,150
62,TELL_4_4_8,0,207
63,TELL_4_4_8,5,146
64,TELL_4_4_8,8,63
65,TELL_1_6_8,9,300
66,COUN_4_10_8,0,78
67,COUN_4_10_8,3,200
68,COUN_4_10_8,3,150
69,COUN_3_12_8,9,150
70,TELL_1_19_8,7,250
71,KOUG_4_21_8,2,200
72,KOUG_4_21_8,3,200
73,COUN_3_12_9,6,250
74,COUN_2_1_9,9,250
75,TELL_3_1_9,1,300
76,TELL_3_1_9,3,350
77,TELL_3_1_9,4,220
78,TELL_4_4_9,0,200
79,TELL_1_6_9,7,225
80,TELL_1_19_9,0,300
81,TELL_1_19_9,6,300
82,TELL_1_19_9,9,100
83,KOUG_3_20_9,1,247
84,TELL_3_21_9,2,400
85,TELL_3_21_9,3,350
86,COUN_5_12_10,1,250
87,TELL_3_1_10,3,150
88,TELL_4_9_10,1,375
89,TELL_4_9_10,4,300
90,TELL_4_9_10,5,200
91,COUN_3_10_10,8,250
92,COUN_3_12_10,1,95
93,KOUG_4_19_10,8,350
94,COUN_4_10_11,1,350
95,COUN_4_10_11,2,300
96,COUN_4_10_11,4,275
97,COUN_3_12_11,1,250
98,COUN_4_14_11,1,150
99,TELL_4_4_12,0,250
100,TELL_4_4_12,0,150
101,TELL_4_4_12,1,290
102,TELL_4_4_12,6,200
103,TELL_4_4_12,8,36
104,TELL_4_4_12,9,126
105,TELL_1_6_12,3,350
106,TELL_1_6_12,7,231
107,TELL_1_19_12,0,175
108,TELL_1_19_12,2,175
109,TELL_1_19_12,2,125
110,TELL_1_19_12,5,350
111,TELL_1_19_12,8,200
112,KOUG_4_19_12,7,190
113,KOUG_4_6_13,1,200
114,COUN_3_10_13,8,89
115,TELL_1_19_13,0,50
116,TELL_1_19_13,0,60
117,KOUG_3_20_13,1,175
118,TELL_2_22_13,3,379
119,COUN_3_10_14,2,250
120,COUN_3_10_14,6,400
121,COUN_4_14_14,2,168
122,COUN_4_14_14,2,246
123,KOUG_1_17_14,1,250
124,TELL_1_19_14,0,350
125,COUN_3_19_14,2,150
126,TELL_1_3_15,0,264
127,COUN_4_14_15,4,200
128,COUN_4_14_15,4,200
129,TELL_4_18_15,3,250
130,TELL_4_18_15,3,100
